,GMAA,GMAF,GMAK,GMAM,GMAT,GMAX,GMAZ,GMBB
"2006 MAY",2836,5806,1314,2614,2627,5957,1322,2863
"2006 JUN",2720,6873,1365,3321,2600,5803,1285,2850
"2006 JUL",3530,6724,1925,3418,2800,5634,1494,2841
"2006 AUG",3705,8393,1839,4468,3000,5693,1317,2849
"2006 SEP",3061,7261,1637,3657,2924,5589,1421,2756
"2006 OCT",2511,6665,1357,3250,2494,5888,1341,2929
"2006 NOV",2569,4440,1140,2174,2816,5933,1338,3107
"2006 DEC",2512,4184,1376,2014,2813,6054,1367,3053
"2007 JAN",2298,4475,970,2118,2698,5858,1267,2709
"2007 FEB",2012,4098,971,2227,2701,5735,1395,3025
"2007 MAR",2427,4922,1059,2563,2720,6173,1336,3024
"2007 APR",2872,5867,1239,2817,2863,5796,1332,2910
"2007 MAY",2941,5450,1266,2680,2699,5621,1280,2917
"2007 JUN",2698,6659,1354,3337,2583,5515,1267,2889
"2007 JUL",3349,6827,1820,3559,2656,5692,1367,2876
"2007 AUG",3350,8656,1794,4608,2662,5805,1262,2942
"2007 SEP",2865,7517,1620,3930,2751,5726,1398,2887
"2007 OCT",2817,6586,1337,3133,2765,5968,1300,2973
"2007 NOV",2598,4234,1076,2042,2834,5703,1278,2881
"2007 DEC",2551,4158,1453,1999,2864,6069,1457,3051
"2008 JAN",2349,4724,1049,2679,2759,6282,1361,3419
"2008 FEB",2249,4553,996,2425,2989,6242,1442,3179
"2008 MAR",2597,5085,1085,2693,2841,6173,1365,3157
"2008 APR",2699,5771,1332,2760,2740,5919,1443,2943
"2008 MAY",3042,5873,1453,2941,2779,5819,1476,3107
"2008 JUN",2665,6904,1447,3611,2540,5888,1340,3145
"2008 JUL",3357,6835,1796,3779,2684,5781,1319,3096
"2008 AUG",3426,8574,1906,4945,2795,5512,1356,3035
"2008 SEP",2575,7058,1493,4034,2507,5425,1269,3004
"2008 OCT",2661,5812,1458,2906,2571,5335,1391,2766
"2008 NOV",2177,4132,1173,2132,2384,5477,1373,2996
"2008 DEC",2091,3687,1138,1932,2377,5501,1168,3033
"2009 JAN",2114,3905,1158,2268,2512,5222,1488,2911
"2009 FEB",1779,3457,852,2178,2454,4887,1320,2990
"2009 MAR",2320,3924,1211,2317,2592,4958,1509,2701
"2009 APR",2603,5165,1279,2552,2561,5229,1406,2752
"2009 MAY",2577,5090,1274,2582,2305,4897,1294,2595
"2009 JUN",2763,5706,1544,2886,2637,4864,1418,2609
"2009 JUL",3087,5842,1687,3283,2423,4957,1189,2670
"2009 AUG",3135,7534,2097,4125,2480,4827,1518,2539
"2009 SEP",2557,6399,1634,3536,2518,4912,1411,2633
"2009 OCT",2515,5001,1384,2568,2394,4569,1283,2437
"2009 NOV",2222,3542,1171,1802,2448,4801,1366,2562
"2009 DEC",2214,3049,1300,1598,2538,4561,1370,2495
"2010 JAN",2104,3406,1041,2013,2494,4444,1385,2552
"2010 FEB",1732,3176,910,1873,2451,4517,1407,2608
"2010 MAR",2068,3580,980,2227,2294,4559,1291,2746
"2010 APR",2309,4340,1043,2497,2278,4412,1228,2649
"2010 MAY",2793,4650,1579,2530,2499,4648,1668,2685
"2010 JUN",2653,5622,1558,3119,2498,4622,1484,2691
"2010 JUL",3280,5921,1976,3411,2619,4930,1454,2728
"2010 AUG",3197,7691,1966,4511,2573,4931,1355,2709
"2010 SEP",2508,5934,1440,3528,2495,4599,1205,2615
"2010 OCT",2724,5218,1639,2833,2579,4708,1519,2644
"2010 NOV",2355,3356,1283,1760,2598,4592,1481,2558
"2010 DEC",2081,2668,1299,1517,2432,4015,1404,2404
"2011 JAN",2065,3468,1011,1985,2427,4628,1366,2567
"2011 FEB",1725,3240,944,1824,2470,4665,1465,2587
"2011 MAR",2323,3627,1189,2122,2646,4772,1525,2632
"2011 APR",2663,4816,1287,2407,2597,4769,1427,2581
"2011 MAY",2789,5193,1498,2709,2472,5111,1517,2795
"2011 JUN",2856,5603,1707,3043,2653,4634,1556,2638
"2011 JUL",3362,5739,2130,3344,2679,4703,1582,2614
"2011 AUG",3206,7339,2175,4255,2576,4713,1534,2627
"2011 SEP",2604,6184,1661,3646,2589,4729,1404,2637
"2011 OCT",2798,5189,1739,2828,2647,4742,1613,2673
"2011 NOV",2264,3326,1361,1803,2510,4620,1571,2644
"2011 DEC",2143,3113,1296,1734,2494,4749,1425,2748
"2012 JAN",2246,3260,1119,1904,2594,4299,1489,2448
"2012 FEB",1736,3364,950,1853,2460,4783,1483,2618
"2012 MAR",2267,3635,1143,2151,2615,4768,1495,2702
"2012 APR",2917,4845,1443,2717,2824,4792,1582,2860
"2012 MAY",2970,4658,1594,2581,2643,4518,1621,2699
"2012 JUN",2570,6018,1624,3301,2357,4950,1471,2841
"2012 JUL",3158,5662,2055,3490,2539,4660,1478,2730
"2012 AUG",3016,7158,2432,4416,2421,4597,1764,2675
"2012 SEP",2612,6399,1988,3854,2605,4770,1709,2744
"2012 OCT",2690,5095,1524,2747,2537,4758,1401,2666
"2012 NOV",2476,3368,1306,1816,2737,4716,1536,2623
"2012 DEC",2427,3075,1462,1620,2791,4734,1604,2556
"2013 JAN",2200,3467,1245,2052,2572,4760,1621,2771
"2013 FEB",1951,3208,1046,1826,2730,4713,1577,2685
"2013 MAR",2181,3518,1300,2142,2505,4496,1668,2703
"2013 APR",2888,4905,1677,2819,2835,4982,1787,2896
"2013 MAY",3084,5057,1723,3013,2762,4882,1727,2992
"2013 JUN",2897,5965,1894,3479,2678,4834,1717,2807
"2013 JUL",3349,6008,2560,3586,2638,4932,1927,2910
"2013 AUG",3586,7847,2443,5022,2829,4913,1704,2964
"2013 SEP",2846,6498,2187,4023,2760,4834,1852,2841
"2013 OCT",2970,5060,1863,3075,2797,4471,1767,2818
"2013 NOV",2446,3706,1439,2049,2689,4875,1701,2849
"2013 DEC",2414,3270,1634,1814,2745,4744,1794,2709
"2014 JAN",2432,4187,1415,1906,2893,4920,1772,2544
"2014 FEB",2150,3290,1510,1760,2890,4794,2043,2561
"2014 MAR",2410,3440,1340,1880,2787,4549,1718,2393
"2014 APR",2948,4799,1400,2138,2805,4751,1529,2311
"2014 MAY",3197,5455,1622,2378,2864,5059,1659,2363
"2014 JUN",3181,5812,1972,2611,2969,4851,1824,2271
"2014 JUL",3428,5819,2355,2751,2840,4863,1760,2231
"2014 AUG",3527,7802,2605,3933,2860,4881,1891,2277

© Crown Copyright

GMAA,"OS visits to UK:All visits Thousands-NSA"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
GMAF,"UK visits abroad:All visits Thousands-NSA"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
GMAK,"OS visits to UK:Earnings: £ Millions-NSA"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
GMAM,"UK visits abroad:Expenditure: £ Millions-NSA"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
GMAT,"OS visits to the UK: Thousands - SA"
,seasonal_adjustment='SA'
,base_period='-'
,price='CURR'
,index_period='-'
GMAX,"UK visits abroad: All visits Thousands - SA"
,seasonal_adjustment='SA'
,base_period='-'
,price='CURR'
,index_period='-'
GMAZ,"OS visits to UK :Earnings: £ Millions-(Cur.Price-SA)"
,seasonal_adjustment='SA'
,base_period='-'
,price='CURR'
,index_period='-'
GMBB,"UK visits abroad:Expenditure abroad: £ Millions -(Cur.Price-SA)"
,seasonal_adjustment='SA'
,base_period='-'
,price='CURR'
,index_period='-'
